epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,124.821,0.65764,0.73052,0.62537,0.90448,0.94641,0.93017,0.97051,0.8096,0.9044,0.99603,0.98182,0.67821,0.58143,0.65573,0.6587,0.91409,0.0014258,0.0014258,0.0014258
31,127.936,0.64555,0.69541,0.61543,0.91089,0.94911,0.89474,0.98318,0.83389,0.94911,0.89474,0.98318,0.67789,0.59737,0.62578,0.62832,0.92008,0.001406,0.001406,0.001406
32,131.361,0.6593,0.73424,0.65943,0.92221,1,0.94014,0.99024,0.85138,1,0.94014,0.99024,0.66789,0.64114,0.64413,0.6009,0.95805,0.0013862,0.0013862,0.0013862
33,136.078,0.65128,0.68569,0.61756,0.90979,0.9473,0.94621,0.97788,0.82726,0.9473,0.94621,0.97788,0.60587,0.59255,0.75202,0.62266,0.9271,0.0013664,0.0013664,0.0013664
34,139.209,0.63609,0.72934,0.59752,0.89425,0.96786,0.89474,0.98555,0.80313,0.96786,0.89474,0.98555,0.6308,0.66043,0.70967,0.64496,0.93523,0.0013466,0.0013466,0.0013466
35,142.796,0.63027,0.76297,0.5914,0.89496,0.94514,1,0.995,0.86239,0.94514,1,0.995,0.6269,0.56886,0.69455,0.60931,0.90061,0.0013268,0.0013268,0.0013268
36,146.624,0.6355,0.69091,0.58218,0.90219,0.8928,1,0.9713,0.82541,0.8928,1,0.9669,0.66755,0.55329,0.67361,0.61275,0.89792,0.001307,0.001307,0.001307
37,151.019,0.60084,0.66874,0.55759,0.89898,0.89173,1,0.97424,0.84769,0.90348,0.98586,0.98761,0.65673,0.5523,0.67503,0.65314,0.91339,0.0012872,0.0012872,0.0012872
38,154.303,0.57719,0.63722,0.54075,0.87551,0.94877,0.97532,0.9925,0.84648,0.94877,0.97532,0.9925,0.63626,0.57558,0.70634,0.62182,0.91633,0.0012674,0.0012674,0.0012674
39,157.819,0.59197,0.66905,0.54653,0.89084,0.98376,1,0.995,0.86551,0.98376,1,0.995,0.68689,0.56435,0.67923,0.59648,0.91499,0.0012476,0.0012476,0.0012476
40,161.782,0.60712,0.727,0.55286,0.89541,0.98314,1,0.995,0.84526,0.98314,1,0.995,0.66113,0.58141,0.71048,0.60134,0.91201,0.0012278,0.0012278,0.0012278
41,165.762,0.61988,0.67004,0.57312,0.88774,0.90296,0.98008,0.96836,0.83837,0.90296,0.98008,0.96836,0.6515,0.54869,0.72205,0.62263,0.9124,0.001208,0.001208,0.001208
42,168.852,0.59854,0.66552,0.54028,0.88564,0.94931,0.98614,0.9795,0.8415,0.94931,0.98614,0.9795,0.63383,0.59218,0.69872,0.59375,0.91742,0.0011882,0.0011882,0.0011882
43,172.453,0.59082,0.63089,0.5333,0.88609,1,0.93821,0.9925,0.82911,1,0.93821,0.9925,0.69585,0.57318,0.66159,0.5665,0.91282,0.0011684,0.0011684,0.0011684
44,176.657,0.60506,0.66307,0.55185,0.88635,1,0.93209,0.98818,0.83862,1,0.93209,0.98818,0.6981,0.58109,0.6922,0.55397,0.91274,0.0011486,0.0011486,0.0011486
45,180.426,0.62648,0.67153,0.54325,0.89939,1,0.9854,0.995,0.83854,1,0.9854,0.995,0.69418,0.60543,0.68983,0.5218,0.90515,0.0011288,0.0011288,0.0011288
46,183.565,0.59494,0.65889,0.52902,0.88892,0.99892,1,0.995,0.82388,0.99892,1,0.995,0.68625,0.58759,0.6168,0.49057,0.90758,0.001109,0.001109,0.001109
47,186.82,0.59722,0.67983,0.51641,0.89418,0.93756,1,0.9925,0.8309,0.93756,1,0.9925,0.68394,0.55277,0.66209,0.48092,0.90705,0.0010892,0.0010892,0.0010892
48,190.799,0.58529,0.668,0.52803,0.8981,1,0.9992,0.995,0.85144,1,0.9992,0.995,0.69955,0.5157,0.6386,0.47868,0.89172,0.0010694,0.0010694,0.0010694
49,194.795,0.55963,0.68441,0.50608,0.88524,0.94899,0.97981,0.9925,0.83657,0.94899,0.97981,0.9925,0.71099,0.53853,0.62948,0.52161,0.91666,0.0010496,0.0010496,0.0010496
50,197.988,0.56644,0.66951,0.51169,0.89217,0.94493,1,0.9925,0.83056,0.94493,1,0.9925,0.70325,0.56796,0.61174,0.52128,0.91207,0.0010298,0.0010298,0.0010298
51,201.195,0.56177,0.65501,0.51586,0.88039,0.94714,1,0.99,0.88005,0.94714,1,0.99,0.68989,0.49279,0.62193,0.49297,0.88204,0.00101,0.00101,0.00101
52,205.446,0.54515,0.65573,0.48795,0.88163,0.94927,0.98532,0.99,0.86125,0.94927,0.98532,0.99,0.70191,0.51364,0.62075,0.50631,0.87325,0.0009902,0.0009902,0.0009902
53,209.365,0.56552,0.66296,0.49901,0.87644,1,0.99807,0.995,0.87107,1,0.99807,0.995,0.69159,0.53838,0.58704,0.51835,0.88176,0.0009704,0.0009704,0.0009704
54,213.201,0.56095,0.62316,0.49311,0.88237,1,0.9961,0.995,0.87583,1,0.9961,0.995,0.68474,0.50937,0.63604,0.48253,0.88105,0.0009506,0.0009506,0.0009506
55,217.425,0.57267,0.65493,0.49437,0.88021,1,0.98311,0.995,0.83409,1,0.98311,0.995,0.60749,0.59155,0.67911,0.5329,0.92941,0.0009308,0.0009308,0.0009308
56,223.014,0.57561,0.65182,0.4972,0.89085,0.90237,0.97353,0.98497,0.80801,0.90237,0.97353,0.98497,0.59303,0.62477,0.70365,0.56272,0.95478,0.000911,0.000911,0.000911
57,226.159,0.52879,0.60295,0.46991,0.86555,0.90133,1,0.98761,0.80661,0.90133,1,0.98761,0.60885,0.59172,0.78201,0.52162,0.93214,0.0008912,0.0008912,0.0008912
58,229.388,0.54355,0.59868,0.47208,0.86996,0.94465,0.89844,0.96474,0.81294,0.91763,0.94737,0.98292,0.63058,0.66599,0.74675,0.55611,0.99154,0.0008714,0.0008714,0.0008714
59,232.607,0.54751,0.63046,0.47106,0.86997,0.94885,0.97702,0.9875,0.8459,0.94885,0.97702,0.9875,0.69478,0.5692,0.64798,0.50794,0.95724,0.0008516,0.0008516,0.0008516
60,237.302,0.535,0.61528,0.46427,0.87401,0.90306,0.98119,0.98548,0.89903,0.90306,0.98119,0.98548,0.68248,0.53088,0.63549,0.47279,0.93765,0.0008318,0.0008318,0.0008318
